game,country,lat,long,Unnamed: 0,platform,year,Variable,playtime
Battlefield 1,Slovenia,46.06,14.51,84932.0,XOne,2016.0,NA_Sales,1.28
Battlefield 1,Slovenia,46.06,14.51,84933.0,PC,2016.0,NA_Sales,0.11
Battlefield 1,Slovenia,46.06,14.51,101650.0,PS4,2016.0,EU_Sales,2.15
Battlefield 1,Slovenia,46.06,14.51,101651.0,XOne,2016.0,EU_Sales,0.77
Battlefield 1,Slovenia,46.06,14.51,101652.0,PC,2016.0,EU_Sales,0.24
Battlefield 1,Slovenia,46.06,14.51,118369.0,PS4,2016.0,JP_Sales,0.21
Battlefield 1,Slovenia,46.06,14.51,118370.0,XOne,2016.0,JP_Sales,0
Battlefield 1,Slovenia,46.06,14.51,118371.0,PC,2016.0,JP_Sales,0
Battlefield 1,Slovenia,46.06,14.51,135088.0,PS4,2016.0,Other_Sales,0.61
Battlefield 1,Slovenia,46.06,14.51,135089.0,XOne,2016.0,Other_Sales,0.2
Battlefield 1,Slovenia,46.06,14.51,135090.0,PC,2016.0,Other_Sales,0.03
Battlefield 1,Slovenia,46.06,14.51,151807.0,PS4,2016.0,Global_Sales,4.08
Battlefield 1,Slovenia,46.06,14.51,151808.0,XOne,2016.0,Global_Sales,2.25
Battlefield 1,Slovenia,46.06,14.51,151809.0,PC,2016.0,Global_Sales,0.38
Battlefield 1,Slovenia,46.06,14.51,168526.0,PS4,2016.0,Critic_Score,88
Battlefield 1,Slovenia,46.06,14.51,168527.0,XOne,2016.0,Critic_Score,87
Battlefield 1,Slovenia,46.06,14.51,168528.0,PC,2016.0,Critic_Score,88
Battlefield 1,Slovenia,46.06,14.51,185245.0,PS4,2016.0,Critic_Count,31
Battlefield 1,Slovenia,46.06,14.51,185246.0,XOne,2016.0,Critic_Count,37
Battlefield 1,Slovenia,46.06,14.51,185247.0,PC,2016.0,Critic_Count,54
Battlefield 1,Slovenia,46.06,14.51,201964.0,PS4,2016.0,User_Score,8.4
Battlefield 1,Slovenia,46.06,14.51,201965.0,XOne,2016.0,User_Score,8.2
Battlefield 1,Slovenia,46.06,14.51,201966.0,PC,2016.0,User_Score,7.6
Battlefield 1,Slovenia,46.06,14.51,218683.0,PS4,2016.0,User_Count,809
Battlefield 1,Slovenia,46.06,14.51,218684.0,XOne,2016.0,User_Count,440
Battlefield 1,Slovenia,46.06,14.51,218685.0,PC,2016.0,User_Count,1137
Battlefield 1,Slovenia,46.06,14.51,235402.0,PS4,2016.0,Developer,EA DICE
Battlefield 1,Slovenia,46.06,14.51,235403.0,XOne,2016.0,Developer,EA DICE
Battlefield 1,Slovenia,46.06,14.51,235404.0,PC,2016.0,Developer,EA DICE
Battlefield 1,Slovenia,46.06,14.51,252121.0,PS4,2016.0,Rating,M
Battlefield 1,Slovenia,46.06,14.51,252122.0,XOne,2016.0,Rating,M
Battlefield 1,Slovenia,46.06,14.51,252123.0,PC,2016.0,Rating,M
Horizon Zero Dawn ,South Africa,-33.92,18.42,,,,,
Overwatch,South Korea,37.53,127.02,52301.0,PS4,2016.0,Genre,Shooter
Overwatch,South Korea,37.53,127.02,52302.0,XOne,2016.0,Genre,Shooter
Overwatch,South Korea,37.53,127.02,52303.0,PC,2016.0,Genre,Shooter
Overwatch,South Korea,37.53,127.02,69020.0,PS4,2016.0,Publisher,Activision
Overwatch,South Korea,37.53,127.02,69021.0,XOne,2016.0,Publisher,Activision
Overwatch,South Korea,37.53,127.02,69022.0,PC,2016.0,Publisher,Activision
Overwatch,South Korea,37.53,127.02,85739.0,PS4,2016.0,NA_Sales,0.81
Overwatch,South Korea,37.53,127.02,85740.0,XOne,2016.0,NA_Sales,0.63
Overwatch,South Korea,37.53,127.02,85741.0,PC,2016.0,NA_Sales,0.25
Overwatch,South Korea,37.53,127.02,102458.0,PS4,2016.0,EU_Sales,0.85
Overwatch,South Korea,37.53,127.02,102459.0,XOne,2016.0,EU_Sales,0.33
Overwatch,South Korea,37.53,127.02,102460.0,PC,2016.0,EU_Sales,0.24
Overwatch,South Korea,37.53,127.02,119177.0,PS4,2016.0,JP_Sales,0.15
Overwatch,South Korea,37.53,127.02,119178.0,XOne,2016.0,JP_Sales,0
Overwatch,South Korea,37.53,127.02,119179.0,PC,2016.0,JP_Sales,0
Overwatch,South Korea,37.53,127.02,135896.0,PS4,2016.0,Other_Sales,0.33
